Titre,Artiste,Mapper,Date de création,Date de ranked,État de la carte,Nominator,Genre,Langue,Playcount,Likes,Length,BPM,Circle Count,Slider Count,Circle Size,HP Drain,Accuracy,Approach Rate,Star Rating,Game Mode,Difficultés,URL
DISCO PRINCE,Kenji Ninuma,peppy,2007-10-06,2007-10-06,CLASSÉE,peppy,Jeu vidéo,Japonais,705 362,1 512,2:22,120,160,30,4,6,6,6,"2,55",osu,Difficulty 1,https://osu.ppy.sh/beatmapsets/1
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,https://osu.ppy.sh/beatmapsets/2
"1,2,3,4, 007 [Wipeout Series]",Ni-Ni,MCXD,2007-10-06,2007-10-06,CLASSÉE,peppy,Jeu vidéo,Anglais,649 965,277,1:23,172,36,7,4,2,3,3,"1,60",osu,Difficulty 1,https://osu.ppy.sh/beatmapsets/3
"1,2,3,4, 007 [Wipeout Series]",Ni-Ni,MCXD,2007-10-06,2007-10-06,CLASSÉE,peppy,Jeu vidéo,Anglais,649 965,277,1:23,172,67,15,5,3,4,4,"2,17",osu,Difficulty 2,https://osu.ppy.sh/beatmapsets/3
"1,2,3,4, 007 [Wipeout Series]",Ni-Ni,MCXD,2007-10-06,2007-10-06,CLASSÉE,peppy,Jeu vidéo,Anglais,649 965,277,1:23,172,95,23,6,4,6,6,"2,87",osu,Difficulty 3,https://osu.ppy.sh/beatmapsets/3
"1,2,3,4, 007 [Wipeout Series]",Ni-Ni,MCXD,2007-10-06,2007-10-06,CLASSÉE,peppy,Jeu vidéo,Anglais,649 965,277,1:23,172,102,23,7,5,7,7,"3,14",osu,Difficulty 4,https://osu.ppy.sh/beatmapsets/3
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,https://osu.ppy.sh/beatmapsets/4
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,https://osu.ppy.sh/beatmapsets/5
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,https://osu.ppy.sh/beatmapsets/6
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,https://osu.ppy.sh/beatmapsets/7
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,https://osu.ppy.sh/beatmapsets/8
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,https://osu.ppy.sh/beatmapsets/9
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,https://osu.ppy.sh/beatmapsets/10
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,https://osu.ppy.sh/beatmapsets/11
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,https://osu.ppy.sh/beatmapsets/12
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,https://osu.ppy.sh/beatmapsets/13
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,https://osu.ppy.sh/beatmapsets/14
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,https://osu.ppy.sh/beatmapsets/15
Love Fighter,Brandy,FFFanatic,2007-10-07,2007-10-07,CLASSÉE,peppy,Jeu vidéo,Coréen,140 472,162,2:15,125,286,47,4,3,5,5,"3,42",osu,Difficulty 1,https://osu.ppy.sh/beatmapsets/16
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,https://osu.ppy.sh/beatmapsets/17
Scatman,Scatman John,Extor,2007-10-07,2007-10-07,CLASSÉE,peppy,Pop,Anglais,2 338 428,1 280,3:05,"136,02",270,67,5,4,4,4,"3,85",osu,Difficulty 1,https://osu.ppy.sh/beatmapsets/18
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,https://osu.ppy.sh/beatmapsets/19
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,https://osu.ppy.sh/beatmapsets/20
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,https://osu.ppy.sh/beatmapsets/21
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,https://osu.ppy.sh/beatmapsets/22
Pop Star,Ken Hirai,Chan,2007-10-07,2007-10-07,,peppy,Pop,Japonais,213 200,157,4:28,"139,87",216,73,5,5,2,2,"2,38",osu,Difficulty 1,https://osu.ppy.sh/beatmapsets/23
Re:Re:,ASIAN KUNG-FU GENERATION,peppy,2007-10-07,2007-10-07,,peppy,Rock,Japonais,626 759,591,3:47,153,278,55,5,3,4,4,"2,61",osu,Difficulty 1,https://osu.ppy.sh/beatmapsets/24
Re:Re:,ASIAN KUNG-FU GENERATION,peppy,2007-10-07,2007-10-07,,peppy,Rock,Japonais,626 759,591,3:47,153,288,55,5,5,5,5,"2,70",osu,Difficulty 2,https://osu.ppy.sh/beatmapsets/24
Can't Defeat Airman,Team Nekokan,HolyCOW,2007-10-07,2007-10-07,CLASSÉE,peppy,Jeu vidéo,Japonais,1 024 595,329,3:17,200,183,58,5,8,5,5,"3,52",osu,Difficulty 1,https://osu.ppy.sh/beatmapsets/25
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,https://osu.ppy.sh/beatmapsets/26
Mambo Craze,Buddah Bar,Extor,2007-10-07,2007-10-07,CLASSÉE,peppy,Électronique,Anglais,128 761,89,4:00,"129,54",126,78,5,5,5,5,"2,33",osu,Difficulty 1,https://osu.ppy.sh/beatmapsets/27
AM11:00,HY,tsububu,2007-10-07,2007-10-07,,eyup,Pop,Japonais,137 308,95,3:42,98,313,41,5,5,5,5,"2,80",osu,Difficulty 1,https://osu.ppy.sh/beatmapsets/28
Emoticons,Hinoi Team,MCXD,2007-10-07,2007-10-07,CLASSÉE,peppy,Anime,Japonais,478 682,154,1:32,153,54,13,4,2,3,3,"1,58",osu,Difficulty 1,https://osu.ppy.sh/beatmapsets/29
Emoticons,Hinoi Team,MCXD,2007-10-07,2007-10-07,CLASSÉE,peppy,Anime,Japonais,478 682,154,1:32,153,92,13,5,4,4,4,"2,31",osu,Difficulty 2,https://osu.ppy.sh/beatmapsets/29
Emoticons,Hinoi Team,MCXD,2007-10-07,2007-10-07,CLASSÉE,peppy,Anime,Japonais,478 682,154,1:30,153,121,28,6,5,6,6,"2,84",osu,Difficulty 3,https://osu.ppy.sh/beatmapsets/29
Emoticons,Hinoi Team,MCXD,2007-10-07,2007-10-07,CLASSÉE,peppy,Anime,Japonais,478 682,154,1:32,153,131,27,7,7,7,7,"3,25",osu,Difficulty 4,https://osu.ppy.sh/beatmapsets/29
Hey Now Now,The Cloud Room,Extor,2007-10-07,2007-10-07,CLASSÉE,kaeeepy,Rock,Anglais,100 295,70,3:25,"145,9",272,70,5,9,5,5,"2,70",osu,Difficulty 1,https://osu.ppy.sh/beatmapsets/30
Fall Memories,Phantasma,Kylecito,2007-10-07,2007-10-07,CLASSÉE,eyup,Électronique,Instrumentale,234 812,142,1:46,140,85,34,5,4,6,6,"2,22",osu,Difficulty 1,https://osu.ppy.sh/beatmapsets/31
Koi no Maiahi,Maeken Trance Project,Lumino,2007-10-08,2007-10-08,,peppy,Pop,Japonais,128 539,102,3:35,145,335,43,5,0,0,0,"2,43",osu,Difficulty 1,https://osu.ppy.sh/beatmapsets/32
Koi no Maiahi,Maeken Trance Project,Lumino,2007-10-08,2007-10-08,,peppy,Pop,Japonais,128 539,102,3:35,145,372,43,5,10,7,7,"2,78",osu,Difficulty 2,https://osu.ppy.sh/beatmapsets/32
Koi no Maiahi,Maeken Trance Project,Lumino,2007-10-08,2007-10-08,,peppy,Pop,Japonais,128 539,102,3:35,145,372,43,5,10,10,10,"2,78",osu,Difficulty 3,https://osu.ppy.sh/beatmapsets/32
Koi no Maiahi,Maeken Trance Project,Lumino,2007-10-08,2007-10-08,,peppy,Pop,Japonais,128 539,102,3:35,145,372,43,5,5,5,5,"2,78",osu,Difficulty 4,https://osu.ppy.sh/beatmapsets/32
VISTA,Going Under Ground,ZZT,2007-11-10,2007-11-10,CLASSÉE,peppy,Pop,Japonais,83 855,64,2:24,346,50,26,2,2,0,0,"1,97",osu,Difficulty 1,https://osu.ppy.sh/beatmapsets/33
VISTA,Going Under Ground,ZZT,2007-11-10,2007-11-10,CLASSÉE,peppy,Pop,Japonais,83 855,64,2:24,173,99,30,5,4,3,3,"2,58",osu,Difficulty 2,https://osu.ppy.sh/beatmapsets/33
VISTA,Going Under Ground,ZZT,2007-11-10,2007-11-10,CLASSÉE,peppy,Pop,Japonais,83 855,64,2:29,173,155,43,5,5,5,5,"3,16",osu,Difficulty 3,https://osu.ppy.sh/beatmapsets/33
D-tecnoLife(Album Version),UVERworld,Lumino,2007-10-08,2007-10-08,CLASSÉE,eyup,Anime,Japonais,366 195,151,3:08,168,211,54,5,5,5,5,"2,68",osu,Difficulty 1,https://osu.ppy.sh/beatmapsets/34
D-tecnoLife(Album Version),UVERworld,Lumino,2007-10-08,2007-10-08,CLASSÉE,eyup,Anime,Japonais,366 195,151,4:22,168,356,70,5,5,5,5,"2,94",osu,Difficulty 2,https://osu.ppy.sh/beatmapsets/34
D-tecnoLife(Album Version),UVERworld,Lumino,2007-10-08,2007-10-08,CLASSÉE,eyup,Anime,Japonais,366 195,151,4:22,168,356,70,7,7,7,7,"3,38",osu,Difficulty 3,https://osu.ppy.sh/beatmapsets/34
Hit in the USA,Beat Crusaders,Shin,2007-10-08,2007-10-08,CLASSÉE,peppy,Anime,Anglais,477 723,93,2:53,170,255,11,5,6,6,6,"2,58",osu,Difficulty 1,https://osu.ppy.sh/beatmapsets/35
Vertigo,U2,eyup,2007-10-08,2007-10-08,CLASSÉE,peppy,Rock,Anglais,100 930,67,3:01,140,229,43,5,5,5,5,"2,87",osu,Difficulty 1,https://osu.ppy.sh/beatmapsets/36
UNKNOWN ORCHESTRA,UverWorld,Lumino,2007-10-08,2007-10-08,,Lumino,Rock,Japonais,138 445,103,3:25,140,217,44,5,0,0,0,"2,25",osu,Difficulty 1,https://osu.ppy.sh/beatmapsets/37
